requirement_id,requirement,blueprint_section,checkpoint,expected_files,tests,documentation,evidence_tier,acceptance_gate,status
WAKE-GONKEN-HIGH-RECALL,Recall-first GonKen matcher with aliases and collision corpus,V09_SIMULATION_HIL_EXTENSION_PLAN section 7,20,src/gonken_agent/voice_runtime.py; tests/unit/test_voice_appliance.py,"alias, split token, legacy Hey GonKen and bounded one-edit matcher tests",docs/OPERATIONS.md,E1/E2,host wake matcher gate,HOST_VERIFIED_CP20
WAKE-CONTINUOUS-CAPTURE,Reduce capture/transcription blind gaps,V09_SIMULATION_HIL_EXTENSION_PLAN section 7,20,src/gonken_agent/voice_runtime.py; tests/unit/test_voice_appliance.py,rolling wake transcript tail tests across capture windows,docs/OPERATIONS.md,E2,target tuning later,PARTIAL_HOST_VERIFIED_CP20
WAKE-DIAGNOSTICS,Wake status and tuning diagnostics,V09_SIMULATION_HIL_EXTENSION_PLAN section 7,20,src/gonken_agent/cli.py; tests/unit/test_m2_1.py,gonken-agent wake status --json test,docs/OPERATIONS.md,E2,target tuning support,HOST_VERIFIED_CP20
VOICE-PROGRESS-CUES,Post-question Just a second and long-wait cue,V09_SIMULATION_HIL_EXTENSION_PLAN section 7,20,src/gonken_agent/voice_runtime.py; tests/unit/test_voice_appliance.py,processing cue plan cancellation/due cue tests,docs/OPERATIONS.md,E2,voice UX host gate,HOST_VERIFIED_CP20
VOICE-AUDIO-ARBITRATION,One audio owner no overlap,V09_SIMULATION_HIL_EXTENSION_PLAN sections 7 and 8,20,src/gonken_agent/voice_runtime.py; tests/unit/test_voice_appliance.py,cue cancellation and no-daemon-audio-owner tests,docs/OPERATIONS.md,E2,audio safety gate,PARTIAL_HOST_VERIFIED_CP20
HW-WIRING,Beginner-safe low-voltage hardware wiring,V09_SIMULATION_HIL_EXTENSION_PLAN section 10,21,docs/HARDWARE_SETUP.md,doc link and safety checks; manual safety review,docs/HARDWARE_SETUP.md,E0/E4,physical wiring gate,PLANNED
HW-GPIO-MAP,Separate BCM/header identity from gpiochip line identity,V09_SIMULATION_HIL_EXTENSION_PLAN sections 2.6 and 10,17,config.py; defaults.toml; gpiod_relay.py; diagnostics.py,config migration and doctor output tests,docs/HARDWARE_SETUP.md,E1/E4,relay mapping physical gate,PLANNED
DOC-MAP,README documentation map,V09_SIMULATION_HIL_EXTENSION_PLAN section 9,21,README.md,documentation cross-link tests,README.md,E0,doc quality gate,PLANNED
DOC-SIM,Simulation manual and lab,V09_SIMULATION_HIL_EXTENSION_PLAN section 9,21,docs/SIMULATION.md,documented command parse tests after implementation,docs/SIMULATION.md,E0/E2,user-test gate,PLANNED
DOC-TROUBLESHOOT,Troubleshooting decision trees,V09_SIMULATION_HIL_EXTENSION_PLAN section 9,21,docs/TROUBLESHOOTING.md,doc link and command checks,docs/TROUBLESHOOTING.md,E0,user-test gate,PLANNED
EVIDENCE-SIM-SEPARATION,Simulation and physical acceptance separation,V09_SIMULATION_HIL_EXTENSION_PLAN section 5,18,environment_acceptance_runner.py; CLI diagnostics dashboard support paths,simulation CLI/watch/observability preserve physical_evidence false; physical runner still target gated,docs/OPERATIONS.md; docs/ENVIRONMENT_ACCEPTANCE_RUN.md,E2/E4,no false physical acceptance,PARTIAL_HOST_VERIFIED_CP18
CHECK-NONACTUATING,env serve --check cannot open/write GPIO,V09_SIMULATION_HIL_EXTENSION_PLAN section 2.5,17,daemon.py; gpiod_relay.py; cli.py,fake gpiod no request/no write tests,docs/OPERATIONS.md,E1/E2,non-actuating check gate,HOST_VERIFIED_CP17
